,1,4,9,10,11,13,16,17
3,0.3814,0.4822,0.324,0.0719,0.254,0.3789,0.4473,0.2637
5,0.4244,0.4489,0.575,0.2355,0.4444,0.5745,0.4889,0.5217
8,0.2395,0.1408,0.4166,0.0798,0.2787,0.2921,0.2775,0.225
10,0.4522,0.4559,0.4815,0.21,0.6074,0.6276,0.3741,0.4133
13,0.5085,0.4581,0.5399,0.2428,0.4507,0.6168,0.5635,0.4742
14,0.5301,0.6375,0.5008,0.3878,0.4584,0.6682,0.7427,0.66
16,0.4821,0.4955,0.4982,0.2742,0.4085,0.577,0.526,0.4603
17,0.3642,0.4242,0.4962,0.1524,0.4031,0.507,0.3837,0.3721
19,0.5025,0.5122,0.6256,0.1667,0.458,0.6219,0.4458,0.4484
20,0.3673,0.5204,0.4221,0.2205,0.407,0.4713,0.4591,0.2931
21,0.4447,0.4937,0.6314,0.2885,0.3685,0.4772,0.5055,0.4878
22,0.5232,0.6441,0.4793,0.1628,0.5242,0.5747,0.4953,0.3585
23,0.3984,0.5894,0.4508,0.2989,0.446,0.5046,0.5402,0.489
25,0.3688,0.3788,0.5223,0.1294,0.4906,0.5545,0.441,0.3984
29,0.5016,0.5799,0.59,0.2046,0.371,0.5303,0.5645,0.4264
31,0.4979,0.663,0.4641,0.2764,0.4841,0.5681,0.4877,0.3879
34,0.3204,0.351,0.5451,0.1866,0.3018,0.3893,0.4312,0.3594
35,0.479,0.5336,0.5136,0.3356,0.5849,0.6095,0.5406,0.3616
37,0.5105,0.579,0.6338,0.2253,0.563,0.633,0.6244,0.464
40,0.3076,0.392,0.2874,0.05,0.4234,0.5503,0.2869,0.2905
43,0.5086,0.5656,0.58,0.1904,0.4103,0.5466,0.594,0.3854
44,0.3842,0.4819,0.4387,0.0806,0.3219,0.4887,0.4532,0.3136
45,0.3315,0.4591,0.425,0.2572,0.4243,0.5386,0.4733,0.461
47,0.3872,0.5628,0.6266,0.1911,0.4193,0.5842,0.5555,0.501
48,0.4136,0.4155,0.3897,0.1063,0.5291,0.5173,0.3452,0.2975
61,0.5788,0.5577,0.5131,0.1478,0.3632,0.6503,0.5465,0.4559
63,0.2968,0.3759,0.4715,0.3954,0.3576,0.3919,0.4161,0.3531
64,0.3356,0.4981,0.4023,0.1571,0.4278,0.4761,0.3886,0.3629
71,0.5037,0.665,0.513,0.2209,0.4883,0.7288,0.6646,0.5988
72,0.5561,0.4206,0.5552,0.0884,0.3719,0.5916,0.4999,0.4472
73,0.2986,0.3762,0.3578,0.171,0.3552,0.4395,0.3145,0.2646
74,0.4281,0.5282,0.5197,0.3127,0.3648,0.4835,0.5014,0.4714
75,0.3697,0.4015,0.3609,-0.0229,0.2469,0.4022,0.2948,0.3228
76,0.3918,0.4102,0.4047,0.0545,0.4777,0.6439,0.4727,0.4582
77,0.3546,0.5531,0.5243,0.262,0.4279,0.5059,0.5223,0.4703
78,0.3718,0.5402,0.4116,0.1384,0.4905,0.6108,0.5062,0.4308
80,0.339,0.4877,0.5614,0.2671,0.5075,0.5435,0.5058,0.4491
82,0.526,0.4729,0.5551,0.2568,0.4106,0.5599,0.4743,0.398
83,0.343,0.4605,0.6144,0.2814,0.4946,0.5438,0.4847,0.4165
84,0.447,0.487,0.4231,0.183,0.5646,0.5683,0.5039,0.3771
85,0.2198,0.2048,0.4401,0.2379,0.2651,0.2789,0.4293,0.2793
86,0.3522,0.5391,0.4772,0.3789,0.5598,0.5056,0.5004,0.3781
91,0.5002,0.5225,0.4161,0.2046,0.3924,0.608,0.4534,0.4258
92,0.4963,0.5552,0.5094,0.1965,0.4538,0.4668,0.5213,0.3723
93,0.3084,0.4743,0.3171,0.1386,0.2774,0.4965,0.5249,0.5749
95,0.4687,0.6076,0.3811,0.2764,0.4129,0.6803,0.4999,0.5455
96,0.6777,0.5891,0.6372,0.2148,0.5356,0.7008,0.5605,0.5009
100,0.5118,0.597,0.6031,0.2338,0.5083,0.5352,0.5348,0.3979
102,0.4197,0.6112,0.4813,0.2022,0.5227,0.6538,0.5659,0.4284
104,0.5003,0.4296,0.5746,0.101,0.4249,0.579,0.4533,0.3511
105,0.2604,0.3295,0.286,0.1328,0.1643,0.3392,0.3218,0.3669
106,0.3675,0.4547,0.6001,0.3744,0.448,0.4945,0.5046,0.4599
107,0.5294,0.5489,0.4343,0.2742,0.3895,0.6004,0.5298,0.5745
108,0.3874,0.4751,0.5864,0.1726,0.5348,0.6524,0.5038,0.4466
110,0.4457,0.3831,0.5067,0.1693,0.3899,0.5233,0.4677,0.3646
111,0.5684,0.4641,0.5269,0.3441,0.3687,0.4647,0.5716,0.403
112,0.5566,0.5013,0.4948,0.3182,0.4431,0.5844,0.5565,0.4282
113,0.4827,0.5193,0.495,0.3056,0.5036,0.5293,0.5187,0.3797
114,0.3257,0.5158,0.4805,0.2604,0.3943,0.4565,0.4971,0.3338
